Weather Set Name,Weather Station Name,Date,Min Temp [deg.C],Max Temp [deg.C],Accumulated Precip [mm],Wind Run [km/day],Min RH [%],Max RH [%],Solar Rad [kJ/m2/day],ET Rad,Net Rad,Incoming Rad,Last Modified,Modified By
ARDTWP,T001R19W4,2018/01/01,-31.4,-6.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/02,-8.9,1.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/03,-5.4,4.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/04,-6.9,2.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/05,-1.1,6.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/06,-2.5,5.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/07,-1.7,3.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/08,-0.8,5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/09,-16.9,6.2,1.7,,,,,,,,,
ARDTWP,T001R19W4,2018/01/10,-23.4,-17.1,1.7,,,,,,,,,
ARDTWP,T001R19W4,2018/01/11,-29,-20.1,3.9,,,,,,,,,
ARDTWP,T001R19W4,2018/01/12,-23.3,-8,1.3,,,,,,,,,
ARDTWP,T001R19W4,2018/01/13,-8.2,3.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/14,-8.1,1.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/15,-12.7,-7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/16,-12.7,6.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/17,-3.7,5.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/18,0.1,6.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/19,-4.9,2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/20,-6.7,2.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/21,-6.5,2.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/22,-4.7,2.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/23,-6.8,1.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/24,-4.2,6.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/25,-5.4,4.1,0,,,,,,,,,
